SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2025-02-05,33,2025-02-05T16:00:00Z,2025-02-06T16:44:22Z,95.500000000000000000,95.500000000000000000,False,N,0.000000000000000000,-93.779844482683984097,0.00,0.00,,,451.879663800505056770,-1428.118677816017225268,0.000000000000000000,882.467999999999960892,451.879663800505056770,-1427.118677816017225268,,882.467999999999960892
2025-02-05,34,2025-02-05T16:30:00Z,2025-02-06T17:14:25Z,156.639999999999986358,156.639999999999986358,False,P,0.000000000000000000,198.243758526570047707,0.00,0.00,,,500.562536304347815985,-1192.947222222222308119,0.000000000000000000,890.533999999999991815,500.562536304347815985,-1192.947222222222308119,,889.533999999999991815
2025-02-05,35,2025-02-05T17:00:00Z,2025-02-06T17:44:26Z,170.939999999999997726,170.939999999999997726,False,P,0.000000000000000000,183.921351036634462162,0.00,0.00,,,509.847196175523322381,-1187.197584305555665196,0.000000000000000000,861.475000000000022737,509.847196175523322381,-1187.197584305555665196,,860.475000000000022737
2025-02-05,36,2025-02-05T17:30:00Z,2025-02-06T18:14:21Z,174.650000000000005684,174.650000000000005684,False,P,0.000000000000000000,435.259359336394368256,0.00,0.00,,,651.335976280838849561,-1118.977583415341769069,0.000000000000000000,903.200000000000045475,651.335976280838849561,-1118.977583415341769069,,902.200000000000045475
2025-02-05,37,2025-02-05T18:00:00Z,2025-02-06T18:44:24Z,174.949999999999988631,174.949999999999988631,False,P,0.001800000000000000,494.400491678743946977,0.00,0.00,,,753.417269456521694337,-950.215348333333281516,0.000000000000000000,691.291000000000053660,753.417269456521694337,-950.215348333333281516,,690.291000000000053660
2025-02-05,38,2025-02-05T18:30:00Z,2025-02-06T19:14:27Z,174.199999999999988631,174.199999999999988631,False,P,0.000000000000000000,412.054113279666580638,0.00,0.00,,,588.422820046583865405,-845.195206766917294772,0.000000000000000000,669.239000000000032742,588.422820046583865405,-845.195206766917294772,,668.239000000000032742
2025-02-05,39,2025-02-05T19:00:00Z,2025-02-06T19:44:24Z,153.950175438596488675,153.950175438596488675,False,P,0.000000000000000000,486.454208018077622455,0.00,0.00,,,586.620854970458594835,-817.604649526292632800,0.000000000000000000,717.500000000000000000,586.620854970458594835,-817.604649526292632800,,716.500000000000000000
2025-02-05,40,2025-02-05T19:30:00Z,2025-02-06T20:14:23Z,154.000000000000000000,154.000000000000000000,False,P,0.000000000000000000,595.905764444444457695,0.00,0.00,,,650.824857037037077134,-737.966984444444392466,0.000000000000000000,683.235999999999989996,650.824857037037077134,-737.966984444444392466,,682.235999999999989996
2025-02-05,41,2025-02-05T20:00:00Z,2025-02-06T20:44:30Z,141.150000000000005684,141.150000000000005684,False,P,0.000000000000000000,382.923935185185200680,0.00,0.00,,,549.100786851851808024,-785.416434999999978572,0.000000000000000000,619.500000000000000000,549.100786851851808024,-785.416434999999978572,,618.500000000000000000
2025-02-05,42,2025-02-05T20:30:00Z,2025-02-06T21:14:27Z,141.169999999999987494,141.169999999999987494,False,P,0.000000000000000000,455.795885550977573075,0.00,0.00,,,695.637855008047040428,-835.665658699476807669,0.000000000000000000,595.535999999999944521,695.637855008047040428,-835.665658699476807669,,594.535999999999944521
2025-02-05,43,2025-02-05T21:00:00Z,2025-02-06T21:44:23Z,149.000000000000000000,149.000000000000000000,False,P,0.000000000000000000,66.041706228299503323,0.00,0.00,,,785.432886783855110480,-799.680182669753094160,0.000000000000000000,80.444999999999993179,784.432886783855110480,-799.680182669753094160,,80.444999999999993179
2025-02-05,44,2025-02-05T21:30:00Z,2025-02-06T22:14:25Z,146.430000000000006821,146.430000000000006821,False,P,0.000000000000000000,141.098581111111116115,0.00,0.00,,,797.129608888888924412,-729.194190277777806841,0.000000000000000000,73.052999999999997272,796.129608888888924412,-729.194190277777806841,,73.052999999999997272
2025-02-05,45,2025-02-05T22:00:00Z,2025-02-06T22:44:27Z,139.000000000000000000,139.000000000000000000,False,P,0.000000000000000000,211.311804372730563273,0.00,0.00,,,862.454248817174971009,-750.947983811728363435,0.000000000000000000,99.777000000000001023,861.454248817174971009,-750.947983811728363435,,99.777000000000001023
2025-02-05,46,2025-02-05T22:30:00Z,2025-02-06T23:14:26Z,131.000000000000000000,131.000000000000000000,False,P,0.000000000000000000,54.699838639334522838,0.00,0.00,,,813.211783083778982473,-776.191952840909038969,0.000000000000000000,18.004000000000001336,812.211783083778982473,-776.191952840909038969,,18.004000000000001336
2025-02-05,47,2025-02-05T23:00:00Z,2025-02-06T23:44:30Z,106.150000000000005684,106.150000000000005684,False,N,0.000000000000000000,-307.089071746031720522,0.00,0.00,106.150000000000005684,0.000000000000000000,471.594261587301559757,-778.291880634920630655,0.000000000000000000,0.000000000000000000,471.594261587301559757,-777.291880634920630655,,
2025-02-05,48,2025-02-05T23:30:00Z,2025-02-07T00:14:23Z,95.700000000000002842,95.700000000000002842,False,N,0.000000000000000000,-297.069670224867707020,0.00,0.00,95.700000000000002842,1.000000000000000000,463.863663108465630103,-760.933768928571453216,0.000000000000000000,0.000000000000000000,463.863663108465630103,-759.933768928571453216,,
2025-02-06,1,2025-02-06T00:00:00Z,2025-02-07T00:44:24Z,95.700000000000002842,95.700000000000002842,False,N,0.000000000000000000,-14.726561800887020937,0.00,0.00,95.700000000000002842,1.000000000000000000,610.240439310224132896,-705.517796919934653488,0.000000000000000000,80.533000000000001251,610.240439310224132896,-704.517796919934653488,,80.533000000000001251
2025-02-06,2,2025-02-06T00:30:00Z,2025-02-07T01:14:21Z,128.000000000000000000,128.000000000000000000,False,P,0.000000000000000000,240.656778143479613163,0.00,0.00,,,941.631542032368543005,-700.872811873638397628,0.000000000000000000,0.000000000000000000,940.631542032368543005,-700.872811873638397628,,
2025-02-06,3,2025-02-06T01:00:00Z,2025-02-07T01:44:24Z,120.000000000000000000,120.000000000000000000,False,P,0.000000000000000000,87.860187967032970846,0.00,0.00,,,797.943521300366342075,-709.967449243399642000,0.000000000000000000,0.000000000000000000,796.943521300366342075,-709.967449243399642000,,
2025-02-06,4,2025-02-06T01:30:00Z,2025-02-07T02:14:46Z,120.000000000000000000,120.000000000000000000,False,P,0.000000000000000000,172.644576719576718915,0.00,0.00,,,890.011243386243336317,-717.333333333333371229,0.000000000000000000,0.000000000000000000,889.011243386243336317,-717.333333333333371229,,
2025-02-06,5,2025-02-06T02:00:00Z,2025-02-07T02:44:24Z,55.000000000000000000,55.000000000000000000,False,N,0.000000000000000000,-8.323732714947089661,0.00,0.00,,,679.006600618386187307,-764.100251412036982401,0.000000000000000000,76.628000000000000114,679.006600618386187307,-763.100251412036982401,,76.628000000000000114
2025-02-06,6,2025-02-06T02:30:00Z,2025-02-07T03:14:22Z,120.000000000000000000,120.000000000000000000,False,P,0.000000000000000000,40.498290694444442295,0.00,0.00,,,723.992735138888861002,-773.564957499999991342,0.000000000000000000,90.000000000000000000,722.992735138888861002,-773.564957499999991342,,90.000000000000000000
2025-02-06,7,2025-02-06T03:00:00Z,2025-02-07T03:44:23Z,124.000000000000000000,124.000000000000000000,False,P,0.000000000000000000,141.976198564814808378,0.00,0.00,,,922.657613287037065675,-798.058541157407375977,0.000000000000000000,17.204999999999998295,921.657613287037065675,-798.058541157407375977,,17.204999999999998295
2025-02-06,8,2025-02-06T03:30:00Z,2025-02-07T04:14:27Z,122.000000000000000000,122.000000000000000000,False,P,0.000000000000000000,57.198238604497355198,0.00,0.00,,,803.632653604497363631,-805.307578158730166251,0.000000000000000000,58.377000000000002444,802.632653604497363631,-805.307578158730166251,,58.377000000000002444
2025-02-06,9,2025-02-06T04:00:00Z,2025-02-07T04:44:31Z,120.000000000000000000,120.000000000000000000,False,P,0.000000000000000000,170.404408412698415987,0.00,0.00,,,886.614408412698367101,-763.766987777777785595,0.000000000000000000,47.439999999999997726,885.614408412698367101,-763.766987777777785595,,47.439999999999997726
2025-02-06,10,2025-02-06T04:30:00Z,2025-02-07T05:14:29Z,95.558314281242530797,95.558314281242530797,False,N,0.000000000000000000,-95.548656711570586708,0.00,0.00,95.773240513371050042,0.732846581196581193,644.100356536292679266,-783.974564974053691913,0.000000000000000000,44.287999999999996703,644.100356536292679266,-782.974564974053691913,,44.287999999999996703
